qa_id,question,answer,category,page_section_ref,regulation_clause,curriculum_program,plan,ground_truth_source
165,ชื่อภาษาอังกฤษของรายวิชา 06066100 การบริหารโครงการเทคโนโลยีสารสนเทศ คืออะไร?,INFORMATION TECHNOLOGY PROJECT MANAGEMENT,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
166,รายวิชา 06066100 การบริหารโครงการเทคโนโลยีสารสนเทศ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
167,รายวิชา 90643021 คือวิชาอะไร?,"ผู้ประกอบการสมัยใหม่ (MODERN ENTREPRENEURS), 3(3-0-6) หน่วยกิต, หมวดวิชาศึกษาทั่วไป — บังคับ",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
168,รายวิชา 90643021 ผู้ประกอบการสมัยใหม่ มีกี่หน่วยกิต?,3(3-0-6),Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
169,ชื่อภาษาอังกฤษของรายวิชา 90643021 ผู้ประกอบการสมัยใหม่ คืออะไร?,MODERN ENTREPRENEURS,Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
170,รายวิชา 90643021 ผู้ประกอบการสมัยใหม่ อยู่ในหมวดหมู่ใด?,"หมวดวิชาศึกษาทั่วไป, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
171,รายวิชา 06026215 คือวิชาอะไร?,"โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 (PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 2), 3(0-9-0) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
172,รายวิชา 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 มีกี่หน่วยกิต?,3(0-9-0),Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
173,ชื่อภาษาอังกฤษของรายวิชา 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 คืออะไร?,PROJECT IN DATA SCIENCE AND BUSINESS ANALYTICS 2,Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
174,รายวิชา 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 มีวิชาบังคับก่อน (prerequisite) หรือไม่? ถ้ามีคือวิชาอะไร?,มี — 06026214 (โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1),Prerequisite,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
175,รายวิชา 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
176,รายวิชา 06026259 หรือ 06026260 คือวิชาอะไร?,"สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ (COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS OVERSEA COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS), 6(0-35-0) หน่วยกิต, หมวดวิชาเฉพาะ — บังคับ",Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
177,รายวิชา 06026259 หรือ 06026260 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ มีกี่หน่วยกิต?,6(0-35-0),Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
178,ชื่อภาษาอังกฤษของรายวิชา 06026259 หรือ 06026260 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ คืออะไร?,COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS OVERSEA COOPERATIVE EDUCATION IN DATA SCIENCE AND BUSINESS ANALYTICS,Course Detail,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
179,รายวิชา 06026259 หรือ 06026260 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ อยู่ในหมวดหมู่ใด?,"หมวดวิชาเฉพาะ, ประเภท: บังคับ",Course Classification,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
180,รายวิชาใดบ้างในหลักสูตร DSBA ที่มีวิชาบังคับก่อน (prerequisite)?,06026201 แคลคูลัส 2 ← ต้องผ่าน 06026200; 06066102 ระบบสารสนเทศเพื่อการจัดการ ← ต้องผ่าน 06066101; 06026212 การสร้างคลังข้อมูล ← ต้องผ่าน 06066300; 06026213 ระบบข้อมูลมหัต ← ต้องผ่าน 06066300; 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 ← ต้องผ่าน 06026214,Prerequisite,ภาพรวมแผนการศึกษา,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: ต้องผ่านวิชาบังคับก่อนตามที่หลักสูตรกำหนด,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
181,หลักสูตร DSBA มีวิชาเลือกเฉพาะสาขาให้เลือกทั้งหมดกี่รายวิชา?,45 รายวิชาในกลุ่มวิชาเลือกเฉพาะสาขา,Elective Courses,ตารางวิชาเลือกเฉพาะสาขา (Elective Pool),,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
182,กลุ่มวิชาเลือกทางวิทยาการข้อมูล (Data Science) ในหลักสูตร DSBA มีวิชาอะไรบ้าง?,"06026216 ปัญญาประดิษฐ์, 06026217 การเรียนรู้ของเครื่อง, 06026218 การเรียนรู้เชิงลึก, 06026219 การประมวลผลภาษาธรรมชาติ, 06026220 การทำเหมืองข้อมูลกระบวนการ, 06026221 การค้นคืนสารสนเทศ, 06026222 คอมพิวเตอร์วิชัน, 06026223 การประมวลผลภาพ, 06026224 การแปลงข้อมูลและการรู้จำรูปภาพ, 06026225 การเรียนรู้เชิงลึกสำหรับการวิเคราะห์ภาพและวิดีโอทางการแพทย์, 06026226 หัวข้อพิเศษทางวิทยาการข้อมูล 1, 06026227 หัวข้อพิเศษทางวิทยาการข้อมูล 2, 06026228 ปฏิบัติการพิเศษทางวิทยาการข้อมูล 1, 06026229 ปฏิบัติการพิเศษทางวิทยาการข้อมูล 2, 06026241 การดำเนินงานการเรียนรู้ของเครื่อง, 06026250 วิทยาการข้อมูลสำหรับธุรกิจ, 06026254 เทคโนโลยีสุขภาพสนเทศศาสตร์เบื้องต้น, 06026259 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ, 06026260 สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ",Elective Courses,ตารางวิชาเลือก — กลุ่มวิทยาการข้อมูล,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
183,กลุ่มวิชาเลือกทางการวิเคราะห์เชิงสถิติ (Statistical Analytics) ในหลักสูตร DSBA มีวิชาอะไรบ้าง?,"06026230 อนุกรมเวลาและการพยากรณ์, 06026231 สถิติเชิงเบย์, 06026232 กระบวนการสโตแคสติกเบื้องต้น, 06026233 การวิเคราะห์ข้อมูลหลายตัวแปร, 06026234 การออกแบบการทดลอง, 06026235 หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 1, 06026236 หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 2, 06026237 ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 1, 06026238 ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 2",Elective Courses,ตารางวิชาเลือก — กลุ่มการวิเคราะห์เชิงสถิติ,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
184,กลุ่มวิชาเลือกทางวิศวกรรมข้อมูล (Data Engineering) ในหลักสูตร DSBA มีวิชาอะไรบ้าง?,"06026239 สถิาปัตยกรรมข้อมูลแบบไปป์ไลน์, 06026240 การพัฒนาระบบอัจฉริยะ, 06026242 โครงสร้างพื้นฐานด้านเทคโนโลยีกลุ่มเมฆ, 06026243 ระบบฐานข้อมูลขั้นสูง, 06026244 การดูแลและบำรุงรักษาระบบฐานข้อมูล, 06026245 ระบบข้อมูลแบบกระจาย, 06026246 หัวข้อพิเศษทางวิศวกรรมข้อมูล 1, 06026247 หัวข้อพิเศษทางวิศวกรรมข้อมูล 2, 06026248 ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 1, 06026249 ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 2",Elective Courses,ตารางวิชาเลือก — กลุ่มวิศวกรรมข้อมูล,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
185,กลุ่มวิชาเลือกทางธุรกิจ/ประยุกต์ ในหลักสูตร DSBA มีวิชาอะไรบ้าง?,"06026251 บัญชีการเงิน, 06026252 การวิเคราะห์ด้านการเงิน, 06026253 การวิเคราะห์ด้านการตลาด, 06026255 การได้มาและการจัดการข้อมูลทางด้านคลินิก, 06026256 การจัดการการปฏิบัติการ, 06026257 การบริหารเชิงกลยุทธ์และสมรรถะของธุรกิจ, 06026258 การวิเคราะห์เครือข่ายสังคม",Elective Courses,ตารางวิชาเลือก — กลุ่มธุรกิจ/ประยุกต์,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
186,หลักสูตร DSBA มีรายวิชาศึกษาทั่วไปทั้งหมดกี่รายวิชา?,"10 รายวิชา (บังคับ 8, เลือก 2)",General Education,แผนการศึกษา — หมวดวิชาศึกษาทั่วไป,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
187,รายวิชาศึกษาทั่วไปบังคับของหลักสูตร DSBA มีอะไรบ้าง?,"90641001 โรงเรียนสร้างเสน่าห์, 90641003 กีฬาและนันทนาการ, 90644007 ภาษาอังกฤษพื้นฐาน 1, 90641002 ความฉลาดทางดิจิทัล, 90642033 กฎหมายสำหรับคนรุ่นใหม่, 90644008 ภาษาอังกฤษพื้นฐาน 2, 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ, 90643021 ผู้ประกอบการสมัยใหม่",General Education,แผนการศึกษา — หมวดวิชาศึกษาทั่วไป,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
188,หลักสูตร DSBA (แผน coop) มีรายวิชาสหกิจศึกษาอะไรบ้าง?,06026259 หรือ 06026260 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 6(0-35-0) หน่วยกิต; 06026259 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 6(0-35-0) หน่วยกิต; 06026260 สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 6(0-35-0) หน่วยกิต,Cooperative Education,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2 / ตารางวิชาเลือก,ข้อบังคับฯ — เกณฑ์การสำเร็จการศึกษา: สำหรับแผนสหกิจต้องผ่านรายวิชาสหกิจศึกษา,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
189,สหกิจศึกษาของหลักสูตร DSBA (แผน coop) อยู่ในปีและภาคเรียนใด?,ปีที่ 4 ภาคเรียนที่ 2 — 6(0-35-0) หน่วยกิต,Cooperative Education,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,ข้อบังคับฯ — เกณฑ์การสำเร็จการศึกษา,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
190,สหกิจศึกษาของหลักสูตร DSBA มีกี่หน่วยกิต?,6(0-35-0) หน่วยกิต,Cooperative Education,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 2,ข้อบังคับฯ — เกณฑ์การสำเร็จการศึกษา,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
191,หลักสูตร DSBA มีรายวิชาโครงงาน (Project) กี่รายวิชา?,2 รายวิชา: 06026214 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1 ปี 3/2 3(0-9-0); 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 ปี 4/1 3(0-9-0),Capstone Project,แผนการศึกษา — วิชาโครงงาน,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
192,รายวิชา 06026215 โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2 ต้องผ่านวิชาอะไรก่อน?,06026214 (โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1),Capstone Project,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,ข้อบังคับฯ — เกณฑ์การลงทะเบียน: วิชาบังคับก่อน,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
193,หลักสูตร DSBA ต้องลงวิชาเลือกเสรีกี่รายวิชา รวมกี่หน่วยกิต?,2 รายวิชา รวม 6 หน่วยกิต,Free Electives,แผนการศึกษา ปีที่ 4 ภาคเรียนที่ 1,ข้อบังคับฯ — โครงสร้างหลักสูตร: หมวดวิชาเลือกเสรี,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
194,รายวิชา พื้นฐานวิทยาการข้อมูล ของหลักสูตร DSBA เรียนในปีและภาคเรียนใด?,"ปีที่ 2 ภาคเรียนที่ 2, รหัสวิชา 06026208, 3(3-0-6) หน่วยกิต",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
195,รายวิชา การเรียนรู้ของเครื่องเชิงประยุกต์ ของหลักสูตร DSBA เรียนในปีและภาคเรียนใด?,"ปีที่ 3 ภาคเรียนที่ 1, รหัสวิชา 06026211, 3(2-2-5) หน่วยกิต",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
196,รายวิชา ระบบข้อมูลมหัต ของหลักสูตร DSBA เรียนในปีและภาคเรียนใด?,"ปีที่ 3 ภาคเรียนที่ 2, รหัสวิชา 06026213, 3(2-2-5) หน่วยกิต",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
197,รายวิชา การแสดงข้อมูลด้วยแผนภาพ ของหลักสูตร DSBA เรียนในปีและภาคเรียนใด?,"ปีที่ 2 ภาคเรียนที่ 2, รหัสวิชา 06026209, 3(2-2-5) หน่วยกิต",Course Detail,แผนการศึกษา ปีที่ 2 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
198,รายวิชา การสร้างคลังข้อมูล ของหลักสูตร DSBA เรียนในปีและภาคเรียนใด?,"ปีที่ 3 ภาคเรียนที่ 1, รหัสวิชา 06026212, 3(2-2-5) หน่วยกิต",Course Detail,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
199,รายวิชา 90642033 กฎหมายสำหรับคนรุ่นใหม่ มีเงื่อนไขพิเศษอะไร?,หมายเหตุ: กลุ่มวิชาที่กำหนดโดยคณะ,Special Notes,แผนการศึกษา ปีที่ 1 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
200,รายวิชา 90644042 การสื่อสารและการนำเสนออย่างมืออาชีพ มีเงื่อนไขพิเศษอะไร?,หมายเหตุ: กลุ่มวิชาที่กำหนดโดยคณะ,Special Notes,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
201,รายวิชา 90643021 ผู้ประกอบการสมัยใหม่ มีเงื่อนไขพิเศษอะไร?,หมายเหตุ: กลุ่มวิชาที่กำหนดโดยคณะ,Special Notes,แผนการศึกษา ปีที่ 3 ภาคเรียนที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
202,รายวิชา 06026259 สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ มีเงื่อนไขพิเศษอะไร?,หมายเหตุ: เฉพาะโครงการเข้าร่วมสหกิจ,Special Notes,"กลุ่มวิชาเลือก (ลงได้ในภาคเรียน 3/1, 3/2, 4/1)",ข้อบังคับฯ — เกณฑ์การสำเร็จการศึกษา (แผนสหกิจ),DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
203,รายวิชา 06026260 สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ มีเงื่อนไขพิเศษอะไร?,หมายเหตุ: เฉพาะโครงการเข้าร่วมสหกิจ,Special Notes,"กลุ่มวิชาเลือก (ลงได้ในภาคเรียน 3/1, 3/2, 4/1)",ข้อบังคับฯ — เกณฑ์การสำเร็จการศึกษา (แผนสหกิจ),DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
204,ปีที่ 1 ของหลักสูตร DSBA ต้องเรียนรวมกี่หน่วยกิต?,"รวม 42 หน่วยกิต (15 รายวิชา: บังคับ 15, เลือก 0)",Year Summary,แผนการศึกษา ปีที่ 1,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
205,ปีที่ 2 ของหลักสูตร DSBA ต้องเรียนรวมกี่หน่วยกิต?,"รวม 39 หน่วยกิต (13 รายวิชา: บังคับ 12, เลือก 1)",Year Summary,แผนการศึกษา ปีที่ 2,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
206,ปีที่ 3 ของหลักสูตร DSBA ต้องเรียนรวมกี่หน่วยกิต?,"รวม 36 หน่วยกิต (12 รายวิชา: บังคับ 7, เลือก 5)",Year Summary,แผนการศึกษา ปีที่ 3,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
207,ปีที่ 4 ของหลักสูตร DSBA ต้องเรียนรวมกี่หน่วยกิต?,"รวม 18 หน่วยกิต (5 รายวิชา: บังคับ 2, เลือก 3)",Year Summary,แผนการศึกษา ปีที่ 4,,DSBA,coop,GT_Template-2.xlsx / Academic Plan GT — DSBA coop
